timeStamp: 538566617322366336, state: Initial, ppg0: 311207, ppg1: 397499, ppg2: 324230, ambient: 5306
timeStamp: 538566617329786432, state: Initial, ppg0: 311309, ppg1: 397532, ppg2: 324402, ambient: 5372
timeStamp: 538566617337206592, state: Initial, ppg0: 311466, ppg1: 397547, ppg2: 324500, ambient: 5413
timeStamp: 538566617344626688, state: Initial, ppg0: 311558, ppg1: 397690, ppg2: 324598, ambient: 5310
timeStamp: 538566617352046848, state: Initial, ppg0: 311605, ppg1: 397787, ppg2: 324758, ambient: 5399
timeStamp: 538566617359467008, state: Initial, ppg0: 311646, ppg1: 397907, ppg2: 324873, ambient: 5409
timeStamp: 538566617366887104, state: Initial, ppg0: 311708, ppg1: 397993, ppg2: 324955, ambient: 5376
timeStamp: 538566617374307264, state: Initial, ppg0: 311732, ppg1: 398095, ppg2: 324957, ambient: 5383
timeStamp: 538566617381727360, state: Initial, ppg0: 311750, ppg1: 398109, ppg2: 325019, ambient: 5310
timeStamp: 538566617389147520, state: Initial, ppg0: 311836, ppg1: 398285, ppg2: 325172, ambient: 5331
timeStamp: 538566617396567616, state: Initial, ppg0: 311920, ppg1: 398452, ppg2: 325315, ambient: 5345
timeStamp: 538566617403987776, state: Initial, ppg0: 312045, ppg1: 398638, ppg2: 325512, ambient: 5418
timeStamp: 538566617411407872, state: Initial, ppg0: 312149, ppg1: 398709, ppg2: 325594, ambient: 5348
timeStamp: 538566617418829824, state: Initial, ppg0: 311910, ppg1: 399004, ppg2: 325490, ambient: 5138
timeStamp: 538566617426251776, state: Initial, ppg0: 312117, ppg1: 398915, ppg2: 325650, ambient: 5233
timeStamp: 538566617433673728, state: Initial, ppg0: 312348, ppg1: 399069, ppg2: 325798, ambient: 5334
timeStamp: 538566617441095680, state: Initial, ppg0: 312438, ppg1: 399119, ppg2: 325962, ambient: 5351
timeStamp: 538566617448517632, state: Initial, ppg0: 312520, ppg1: 399243, ppg2: 326091, ambient: 5394
timeStamp: 538566617455939584, state: Initial, ppg0: 312569, ppg1: 399353, ppg2: 326159, ambient: 5369
timeStamp: 538566617463361536, state: Initial, ppg0: 312734, ppg1: 399512, ppg2: 326259, ambient: 5435
timeStamp: 538566617470783488, state: Initial, ppg0: 312780, ppg1: 399541, ppg2: 326337, ambient: 5383
timeStamp: 538566617478205440, state: Initial, ppg0: 312922, ppg1: 399650, ppg2: 326505, ambient: 5405
timeStamp: 538566617485627392, state: Initial, ppg0: 312913, ppg1: 399752, ppg2: 326637, ambient: 5439
timeStamp: 538566617493049344, state: Initial, ppg0: 313019, ppg1: 399976, ppg2: 326810, ambient: 5402
timeStamp: 538566617500471296, state: Initial, ppg0: 313244, ppg1: 400200, ppg2: 327025, ambient: 5436
timeStamp: 538566617507893248, state: Initial, ppg0: 313307, ppg1: 400261, ppg2: 327050, ambient: 5418
timeStamp: 538566617515315200, state: Initial, ppg0: 313423, ppg1: 400351, ppg2: 327203, ambient: 5337
timeStamp: 538566617522737152, state: Initial, ppg0: 313535, ppg1: 400582, ppg2: 327276, ambient: 5386
timeStamp: 538566617530159104, state: Initial, ppg0: 313614, ppg1: 400731, ppg2: 327504, ambient: 5389
timeStamp: 538566617537581056, state: Initial, ppg0: 313649, ppg1: 400685, ppg2: 327521, ambient: 5377
timeStamp: 538566617545003008, state: Initial, ppg0: 313802, ppg1: 400793, ppg2: 327714, ambient: 5404
timeStamp: 538566617552424960, state: Initial, ppg0: 313819, ppg1: 401086, ppg2: 327401, ambient: 5341
timeStamp: 538566617559846912, state: Initial, ppg0: 313721, ppg1: 401054, ppg2: 327583, ambient: 5440
timeStamp: 538566617567268864, state: Initial, ppg0: 313711, ppg1: 400941, ppg2: 327542, ambient: 5342
timeStamp: 538566617574690816, state: Initial, ppg0: 313729, ppg1: 400857, ppg2: 327554, ambient: 5350
timeStamp: 538566617582112768, state: Initial, ppg0: 313631, ppg1: 400663, ppg2: 327385, ambient: 5336
timeStamp: 538566617589534720, state: Initial, ppg0: 313470, ppg1: 400443, ppg2: 327183, ambient: 5349
timeStamp: 538566617596956672, state: Initial, ppg0: 313292, ppg1: 400143, ppg2: 326897, ambient: 5370
timeStamp: 538566617604378624, state: Initial, ppg0: 313192, ppg1: 399891, ppg2: 326587, ambient: 5342
timeStamp: 538566617611800576, state: Initial, ppg0: 312947, ppg1: 399525, ppg2: 326329, ambient: 5284
timeStamp: 538566617619222528, state: Initial, ppg0: 312762, ppg1: 399148, ppg2: 325921, ambient: 5344
timeStamp: 538566617626644480, state: Initial, ppg0: 312578, ppg1: 398900, ppg2: 325601, ambient: 5374
timeStamp: 538566617634066432, state: Initial, ppg0: 312472, ppg1: 398587, ppg2: 325461, ambient: 5378
timeStamp: 538566617641488384, state: Initial, ppg0: 312243, ppg1: 398232, ppg2: 325049, ambient: 5388
timeStamp: 538566617648910336, state: Initial, ppg0: 312186, ppg1: 397976, ppg2: 324814, ambient: 5467
timeStamp: 538566617656332288, state: Initial, ppg0: 311931, ppg1: 397729, ppg2: 324540, ambient: 5496
timeStamp: 538566617663754240, state: Initial, ppg0: 311717, ppg1: 397453, ppg2: 324298, ambient: 5460
timeStamp: 538566617671176192, state: Initial, ppg0: 311634, ppg1: 397230, ppg2: 324066, ambient: 5423
timeStamp: 538566617678598144, state: Initial, ppg0: 311598, ppg1: 397038, ppg2: 323850, ambient: 5410
timeStamp: 538566617686018304, state: Initial, ppg0: 311272, ppg1: 396611, ppg2: 323490, ambient: 5225
timeStamp: 538566617693438464, state: Initial, ppg0: 311284, ppg1: 396546, ppg2: 323507, ambient: 5268
timeStamp: 538566617700858560, state: Initial, ppg0: 311210, ppg1: 396499, ppg2: 323274, ambient: 5351
timeStamp: 538566617708278720, state: Initial, ppg0: 311081, ppg1: 396324, ppg2: 323203, ambient: 5345
timeStamp: 538566617715698816, state: Initial, ppg0: 311072, ppg1: 396168, ppg2: 323074, ambient: 5432
timeStamp: 538566617723118976, state: Initial, ppg0: 311069, ppg1: 395957, ppg2: 322903, ambient: 5377
timeStamp: 538566617730539072, state: Initial, ppg0: 310913, ppg1: 395858, ppg2: 322829, ambient: 5338
timeStamp: 538566617737959232, state: Initial, ppg0: 310816, ppg1: 395871, ppg2: 322793, ambient: 5326
